,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
131,-2.5468028644650986,-1.7763039239876612,-0.1942790240366994,840.79167435,2009.42705,1.0,0.0,1.0,46.553,train,194762.0,50.0
132,-1.0006066210615312,-0.15915851120136043,0.4145957702854171,528.0105093999999,1216.0994945,1.0,0.0,1.0,46.553,train,194762.0,50.0
133,-2.423104662700705,-1.7613046119872462,0.4622184404670962,802.1878984,2170.930157,1.0,0.0,1.0,46.553,train,194762.0,50.0
134,-2.315860604539469,-0.5898859212531392,-0.2052426673323332,710.9551676,1657.930049,1.0,0.0,1.0,46.553,train,194762.0,50.0
135,-1.3731925395183164,-1.472271236674974,-0.02881690360288874,658.6957764,1698.1487315,1.0,0.0,1.0,46.553,train,194762.0,50.0
136,-2.6640789804275773,0.3022093104458207,0.722077662172125,634.4294284,1334.615159,1.0,0.0,1.0,46.553,train,194762.0,50.0
137,-2.5716831767825625,-1.9855679474981864,0.19268639018309988,558.2715988,1184.82881305,1.0,0.0,1.0,46.553,train,194762.0,50.0
138,-2.4328953972544443,-0.11067817094728222,0.8872259238978831,544.2209404,1068.5061423500001,1.0,0.0,1.0,46.553,train,194762.0,50.0
139,-2.3548620324244824,-2.54683996557242,-0.9625579870841368,93.92512301,65.33539748999999,0.0,1.0,0.0,47.963,train,194763.0,50.0
140,-2.292821543131344,-2.9951144510983174,-0.5646795374121568,142.9176562,91.16323445,0.0,1.0,0.0,47.963,train,194763.0,50.0
141,-2.0717737372523684,-0.8702313415514213,-0.5973416764347467,112.96994085,81.65062878,0.0,1.0,0.0,47.963,train,194763.0,50.0
142,-2.186933815479827,-1.2800670765419402,-0.8900201995250371,104.60463488,77.169138025,0.0,1.0,0.0,47.963,train,194763.0,50.0
143,-2.6798309268305656,-1.3948031789948754,-0.5643537702845073,92.63119191000001,73.78358032,0.0,1.0,0.0,47.963,train,194763.0,50.0
144,-2.3825499001532977,-3.0087142014327015,-0.215149580302406,124.12236537,88.914791325,0.0,1.0,0.0,47.963,train,194763.0,50.0
145,-2.50148502792267,-2.589314943361445,-0.6503643526296016,97.4937998,80.89634559,0.0,1.0,0.0,47.963,train,194763.0,50.0
146,-2.109179364818968,-0.9559970200178569,0.020859111853877243,119.5579143,89.268990745,0.0,1.0,0.0,47.963,train,194763.0,50.0
147,-2.2366096741911687,-3.033164993264786,-1.190357253467701,81.14988466,58.067502175,0.0,1.0,0.0,47.963,train,194763.0,50.0
148,-2.8762446173866736,-2.5578954588910974,-0.6056969497424859,93.92038969000001,70.9523666,0.0,1.0,0.0,47.963,train,194763.0,50.0
149,-2.4774503402511727,-3.0735372528502185,-0.5777015322035086,81.2192154,68.013449185,0.0,1.0,0.0,47.963,train,194763.0,50.0
150,-2.3863249496952106,-2.1794792083709265,-0.35768582953931055,105.85910577,85.37783634499999,0.0,1.0,0.0,47.963,train,194763.0,50.0
151,-2.387721983229219,-3.059937502515834,-0.9272314893132598,100.01450623,70.26189231,0.0,1.0,0.0,47.963,train,194763.0,50.0
152,-2.9943821392734087,-2.7040510458143796,-0.32469792338907094,85.52035683,77.510787885,0.0,1.0,0.0,47.963,train,194763.0,50.0
153,-2.0627476673950023,-3.8060193477548685,-0.7044896721684565,71.12022272,46.62206014,0.0,1.0,0.0,47.963,train,194763.0,50.0
154,-2.145484283635207,-2.1391069487854946,-0.9703415508035028,105.78977503,75.431889335,0.0,1.0,0.0,47.963,train,194763.0,50.0
155,-2.1054043152770543,-1.7852320130796315,0.16339536109078223,137.8211739,92.805945725,0.0,1.0,0.0,47.963,train,194763.0,50.0
156,-3.142517004652182,-2.9945037031326636,-0.6352497086783351,104.41970529,78.66526598,0.0,1.0,0.0,47.963,train,194763.0,50.0
157,-2.3380461245178776,-1.306839585792987,-0.6268944353705959,123.46925645,89.36352816,0.0,1.0,0.0,47.963,train,194763.0,50.0
158,-3.426372131054225,1.4158198304477152,2.125775186367937,246.2429711,173.14791324499998,1.0,0.0,1.0,49.117,train,199029.0,50.0
159,-2.7827779253666525,-0.5202949649042939,3.3707104929927025,594.3229116,824.98291625,1.0,0.0,1.0,49.117,train,199029.0,50.0
160,-3.3205683850166783,3.3965197713636797,2.356243473615442,253.6762332,208.661527445,1.0,0.0,1.0,49.117,train,199029.0,50.0
161,-3.1513049930673143,1.6887598114718787,4.543222033729473,553.9825631,768.0631621,1.0,0.0,1.0,49.117,train,199029.0,50.0
162,-2.6546903867307456,-0.4994837536139506,0.8834337193821473,721.972755,1003.53524325,1.0,0.0,1.0,49.117,train,199029.0,50.0
