FOLD 1 
,actual,predicted,repeat,fold
30,47.963,50.115017,0,8
31,55.698,53.91461,0,8
32,63.145,54.92722,0,8
33,64.02,73.97658,0,8
34,66.914,67.68605,0,8
35,66.18,54.37962,0,8
36,68.51,60.98765,0,8
37,59.879,41.53892,0,8
38,50.02,57.932312,0,8
39,66.718,58.032024,0,8
40,61.596,63.21856,0,8
41,54.665,55.10857,0,8
42,63.145,48.585728,0,8
43,66.18,66.45558,0,8
44,66.914,64.806076,0,8
45,64.15,63.03202,0,8
46,49.12,58.536194,0,8
47,63.145,45.434933,0,8
48,54.665,57.703754,0,8
49,50.72,53.99136,0,8
50,53.068,53.114124,0,8
51,51.967,51.320858,0,8
52,64.15,61.82462,0,8
53,68.51,57.355915,0,8
54,67.32,65.68965,0,8
55,47.963,46.598164,0,8
56,68.5,74.90132,0,8
57,46.553,49.29343,0,8
58,53.068,55.43204,0,8
59,64.15,64.74619,0,8
60,68.5,80.08093,0,8
61,47.991,55.572643,0,8
62,68.5,63.2144,0,8
63,47.963,49.77411,0,8
64,66.718,70.15143,0,8
65,68.51,59.86679,0,8
66,50.72,56.46989,0,8
67,66.718,66.89345,0,8
68,61.596,51.82772,0,8
69,49.157,50.999405,0,8
70,54.665,58.169655,0,8
71,50.363,56.371166,0,8
72,54.665,57.87962,0,8
73,47.991,56.225384,0,8
74,66.914,68.53463,0,8
75,59.879,65.36509,0,8
76,64.02,69.32647,0,8
77,52.035,54.05208,0,8
78,50.1,50.17115,0,8
79,50.363,54.19443,0,8
80,66.54,66.29482,0,8
81,64.15,64.08686,0,8
82,61.596,56.70436,0,8
83,49.12,52.72935,0,8

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.31645423,0.62861615,0.631044,8.554526,4.3258877,41.418346,0,8

FOLD 10 
,actual,predicted,repeat,fold
0,49.117,65.58869,0,9
1,56.844,56.580833,0,9
2,50.1,25.351894,0,9
3,50.1,69.36176,0,9
4,46.553,31.158241,0,9
5,68.5,45.27851,0,9
6,49.199,68.14648,0,9
7,47.991,69.69381,0,9
8,46.553,48.448532,0,9
9,54.665,62.93952,0,9
10,49.199,65.59199,0,9
11,66.718,63.226116,0,9
12,66.8,58.068996,0,9
13,52.035,74.29209,0,9
14,55.698,60.59916,0,9
15,64.728,41.5641,0,9
16,61.596,60.71964,0,9
17,66.718,62.16267,0,9
18,68.51,71.984055,0,9
19,50.02,60.51459,0,9
20,63.145,47.998096,0,9
21,50.72,62.69123,0,9
22,50.02,67.19571,0,9
23,47.991,61.946125,0,9
24,51.967,36.738087,0,9
25,67.32,52.65591,0,9
26,67.515,61.689,0,9
27,49.117,60.964626,0,9
28,51.967,42.056953,0,9
29,61.596,63.45863,0,9
30,47.963,39.795094,0,9
31,55.698,55.5394,0,9
32,63.145,49.950314,0,9
33,64.02,66.63598,0,9
34,66.914,77.99259,0,9
35,66.18,45.418125,0,9
36,68.51,50.788345,0,9
37,59.879,19.99783,0,9
38,50.02,63.15089,0,9
39,66.718,44.989857,0,9
40,61.596,78.23985,0,9
41,54.665,58.732754,0,9
42,63.145,50.46052,0,9
43,66.18,59.586285,0,9
44,66.914,51.14741,0,9
45,64.15,58.30695,0,9
46,49.12,74.578354,0,9
47,63.145,55.320007,0,9
48,54.665,62.88525,0,9
49,50.72,68.13812,0,9
50,53.068,50.547718,0,9
51,51.967,32.936153,0,9
52,64.15,55.64279,0,9
53,68.51,45.25545,0,9
54,67.32,57.038067,0,9
55,47.963,42.43859,0,9
56,68.5,77.74309,0,9
57,46.553,39.897163,0,9
58,53.068,67.818886,0,9
59,64.15,62.20526,0,9
60,68.5,94.96697,0,9
61,47.991,67.10865,0,9
62,68.5,50.1029,0,9
63,47.963,38.44935,0,9
64,66.718,67.35956,0,9
65,68.51,50.074696,0,9
66,50.72,67.458,0,9
67,66.718,59.39577,0,9
68,61.596,62.38499,0,9
69,49.157,48.02908,0,9
70,54.665,62.60593,0,9
71,50.363,41.29773,0,9
72,54.665,66.7018,0,9
73,47.991,64.351364,0,9
74,66.914,72.05932,0,9
75,59.879,83.38467,0,9
76,64.02,60.394184,0,9
77,52.035,52.26318,0,9
78,50.1,27.235762,0,9
79,50.363,39.318443,0,9
80,66.54,54.904453,0,9
81,64.15,61.95282,0,9
82,61.596,62.776318,0,9
83,49.12,65.63459,0,9

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,-2.3667023,0.1414472,0.16248016,21.125572,10.809694,203.99986,0,9

FOLD 11 
,actual,predicted,repeat,fold
0,49.117,51.217724,1,0
1,56.844,59.32366,1,0
2,50.1,40.57341,1,0
3,50.1,49.365158,1,0
4,46.553,47.551743,1,0
5,68.5,57.96674,1,0
6,49.199,52.09597,1,0
7,47.991,53.865303,1,0
8,46.553,49.09772,1,0
9,54.665,57.114105,1,0
10,49.199,50.988197,1,0
11,66.718,67.000175,1,0
12,66.8,65.2537,1,0
13,52.035,60.144356,1,0
14,55.698,55.068428,1,0
15,64.728,60.938793,1,0
