,actual,predicted
110,59.879,88.79775
111,49.199,52.202408
112,61.596,65.0135
113,64.15,59.36132
114,62.028,56.375237
115,63.145,45.970524
116,47.963,50.693703
117,49.965,54.888428
118,49.12,54.002422
119,67.32,58.99389
120,67.32,63.696922
121,51.967,39.7304
122,49.199,66.348305
123,59.879,62.610027
124,67.32,65.323074
125,55.698,55.950302
126,50.72,63.40875
127,50.72,47.22524
128,49.965,47.917305
0,64.15,61.910393
1,66.54,60.214264
2,64.15,61.748154
3,64.15,62.460915
4,54.665,59.52597
5,47.963,41.418022
6,53.068,57.905655
7,54.665,60.998207
8,66.18,57.961517
9,56.844,53.15174
10,65.66,61.961792
11,63.145,41.19899
12,64.02,79.14106
13,54.665,61.328354
14,49.12,67.450294
15,49.117,62.444664
16,67.32,59.822197
17,49.199,63.724854
18,66.914,67.953804
19,52.035,53.84256
20,68.51,53.51423
21,49.179,36.160545
22,61.596,57.262276
23,50.363,56.5894
24,50.02,69.241615
25,50.1,39.518036
26,68.5,63.293625
27,61.596,59.918037
28,56.844,56.69004
29,50.1,17.325912
30,63.145,48.478508
31,50.1,30.466555
32,64.15,59.392937
33,67.515,53.064713
34,50.72,62.275482
35,63.145,46.714813
36,61.596,61.800087
37,52.035,50.481026
38,55.698,60.26644
39,50.1,18.455517
40,49.199,60.459015
41,66.718,63.357346
42,52.035,62.237442
43,52.035,53.54744
44,51.967,34.3282
45,53.068,49.571716
46,65.66,63.46766
47,65.66,65.72444
48,67.32,62.650185
49,66.54,57.842766
50,46.553,41.836823
51,67.32,60.12461
52,52.035,65.4013
53,66.718,61.281876
54,66.54,54.20405
55,64.728,55.673065
56,49.157,55.69393
57,64.15,55.159264
58,66.18,57.48359
59,66.914,67.07997
60,49.157,50.502815
61,68.51,65.27015
62,66.718,59.869537
63,64.15,66.23697
64,68.51,67.05827
65,66.54,57.982994
66,61.596,63.439316
67,51.967,36.87278
68,50.565,62.55681
69,68.5,86.216934
70,61.596,65.83367
71,68.5,57.755974
72,50.72,62.089508
73,50.02,64.26259
74,64.02,47.02877
75,47.991,62.270607
76,49.199,58.31996
77,63.145,41.54602
78,59.879,95.861374
79,50.565,63.417328
80,50.72,60.62075
81,49.157,55.342644
82,49.297,56.157066
83,49.12,67.260704
84,46.553,52.212875
85,47.991,63.117645
86,53.068,54.344254
87,50.565,65.954025
88,52.035,58.74604
89,67.32,56.160995
90,68.51,56.903633
91,47.991,61.58738
92,54.665,61.41452
93,54.665,60.80162
94,67.32,60.10025
95,64.15,59.85601
96,47.991,68.42297
97,56.844,56.05925
98,66.18,60.71496
99,62.028,46.675644
100,54.665,59.44126
101,66.718,63.655106
102,51.967,35.586647
103,51.967,30.901262
104,49.117,64.53561
105,46.553,49.2409
106,47.991,64.09161
107,66.914,64.18127
108,68.51,57.188324
109,50.363,29.823246
110,59.879,77.8448
111,49.199,56.46427
112,61.596,66.666176
113,64.15,58.350166
114,62.028,49.51078
115,63.145,42.63508
116,47.963,43.52089
117,49.965,54.35856
118,49.12,60.434242
119,67.32,56.9028
120,67.32,62.713593
121,51.967,38.172363
122,49.199,68.53793
123,59.879,74.14386
124,67.32,60.77793
125,55.698,57.918137
126,50.72,66.9702
127,50.72,51.146164
128,49.965,42.6112
0,64.15,63.632053
1,66.54,61.611862
2,64.15,63.23794
3,64.15,62.162766
4,54.665,60.74187
5,47.963,45.29774
6,53.068,66.26727
7,54.665,59.337044
8,66.18,60.17132
9,56.844,54.65433
10,65.66,63.19117
11,63.145,41.82591
12,64.02,72.827736
13,54.665,59.532314
14,49.12,66.38829
15,49.117,58.287285
16,67.32,59.39593
17,49.199,64.18918
18,66.914,67.075836
19,52.035,58.09087
20,68.51,54.30592
21,49.179,37.972584
22,61.596,55.889706
23,50.363,62.88068
24,50.02,69.53449
25,50.1,44.24985
26,68.5,59.974197
27,61.596,57.779865
28,56.844,49.246357
29,50.1,27.776873
30,63.145,46.423084
31,50.1,42.792664
32,64.15,60.34522
33,67.515,54.752758
34,50.72,57.95221
35,63.145,45.385227
36,61.596,60.749947
37,52.035,50.68227
38,55.698,58.953316
39,50.1,29.529531
40,49.199,58.78025
41,66.718,64.56601
42,52.035,61.297657
43,52.035,54.823967
44,51.967,39.750828
45,53.068,52.753265
46,65.66,64.18203
47,65.66,67.47047
48,67.32,65.19828
49,66.54,58.034718
50,46.553,41.154076
51,67.32,61.220352
52,52.035,64.457054
53,66.718,63.43754
54,66.54,50.28444
55,64.728,61.196796
56,49.157,51.989704
57,64.15,56.320305
58,66.18,59.995647
59,66.914,66.75218
60,49.157,51.967537
61,68.51,66.703674
62,66.718,62.717308
63,64.15,65.804436
64,68.51,67.19535
65,66.54,58.372677
66,61.596,61.55055
67,51.967,39.816914
68,50.565,57.459785
69,68.5,77.09973
70,61.596,65.03593
71,68.5,56.131718
72,50.72,59.21884
73,50.02,64.378746
74,64.02,48.16858
75,47.991,62.54661
76,49.199,59.6523
77,63.145,42.628323
78,59.879,98.44712
79,50.565,62.88234
80,50.72,59.02685
81,49.157,47.354134
82,49.297,51.49546
83,49.12,65.97819
84,46.553,55.25263
85,47.991,64.56397
86,53.068,50.232574
87,50.565,60.953003
88,52.035,56.833378
89,67.32,52.09912
90,68.51,59.34751
91,47.991,59.276375
92,54.665,60.61524
93,54.665,56.158257
94,67.32,59.640976
95,64.15,61.608986
96,47.991,67.1027
97,56.844,57.793285
98,66.18,63.64289
99,62.028,52.451336
100,54.665,60.29913
101,66.718,64.67619
102,51.967,40.714706
103,51.967,29.892687
104,49.117,52.390133
105,46.553,51.28676
106,47.991,61.263226
107,66.914,63.484715
108,68.51,58.22998
109,50.363,41.010967
110,59.879,98.37293
111,49.199,57.330807
112,61.596,66.05639
113,64.15,60.079506
114,62.028,55.777565
